logo-PsAlMQQF src	apply-common-tooltip	apply-common-tooltip href	apply-common-tooltip 2	cell-RLhfr_y4	positive-p_QIAEOQ	cell-RLhfr_y4 2	cell-RLhfr_y4 3	cell-RLhfr_y4 4	cell-RLhfr_y4 5	currency-WyLKdeog 5	cell-RLhfr_y4 6	currency-WyLKdeog 6	positive-p_QIAEOQ 2	dataMode-FRcSVmGO
https://s3-symbol-logo.tradingview.com/phosagro.svg	PHOR	https://www.tradingview.com/symbols/RUS-PHOR/	PhosAgro	6.58 B	0.2355	2.7 B	2.07 B	1.36 B	2.52 B	USD	10.51	USD	0.4756	
https://s3-symbol-logo.tradingview.com/united-therapeutics.svg	UTHR	https://www.tradingview.com/symbols/NASDAQ-UTHR/	United Therapeutics Corporation	2.99 B	0.1985	2.66 B	1.4 B	1.21 B	1.48 B	USD	25.06	USD	0.1848	
https://s3-symbol-logo.tradingview.com/rheinmetall-ag.svg	RHM	https://www.tradingview.com/symbols/XETR-RHM/	RHEINMETALL AG	11.33 B	0.4165	2.61 B	1.57 B	814.63 M	2.03 B	USD	18.03	USD	0.406	D
https://s3-symbol-logo.tradingview.com/constellation-software.svg	CSU	https://www.tradingview.com/symbols/TSX-CSU/	CONSTELLATION SOFTWARE INC	10.03 B	0.2099	2.41 B	1.47 B	715.32 M	2.69 B	USD	33.8	USD	0.3305	D
https://s3-symbol-logo.tradingview.com/exelixis.svg	EXEL	https://www.tradingview.com/symbols/NASDAQ-EXEL/	Exelixis, Inc.	2.3 B	0.2449	2.22 B	814.51 M	643.57 M	844.28 M	USD	2.2	USD	2.4089	
https://s3-symbol-logo.tradingview.com/fuyao-glass-industry-co-ltd.svg	600660	https://www.tradingview.com/symbols/SSE-600660/	FUYAO GLASS INDUSTRY GROUP CO. LTD.	5.51 B	0.1535	2.19 B	1.15 B	1.12 B	—	USD	0.43		0.3338	D
https://s3-symbol-logo.tradingview.com/the-trade-desk.svg	TTD	https://www.tradingview.com/symbols/NASDAQ-TTD/	The Trade Desk, Inc.	2.57 B	0.2507	2.06 B	452.96 M	412.09 M	542.7 M	USD	0.82	USD	1.0305	
https://s3-symbol-logo.tradingview.com/kinross-gold.svg	K	https://www.tradingview.com/symbols/TSX-K/	KINROSS GOLD CORP	5.39 B	0.3084	1.94 B	1.82 B	1.17 B	2.98 B	USD	0.95	USD	1.8999	D
https://s3-symbol-logo.tradingview.com/adyen.svg	ADYEN	https://www.tradingview.com/symbols/EURONEXT-ADYEN/	ADYEN	2.26 B	0.1705	1.88 B	919.09 M	957.75 M	1.03 B	USD	30.68	USD	0.3216	D
https://s3-symbol-logo.tradingview.com/realteks-gds.svg	2379	https://www.tradingview.com/symbols/TWSE-2379/	REALTEK SEMICONDUCTOR CORP	3.69 B	0.2136	1.81 B	470.74 M	508.65 M	574.01 M	USD	0.98	USD	0.6087	D
https://s3-symbol-logo.tradingview.com/adnoc-drilling-company-pjsc.svg	ADNOCDRILL	https://www.tradingview.com/symbols/ADX-ADNOCDRILL/	ADNOC Drilling Company PJSC	4.31 B	0.3383	1.77 B	1.61 B	1.37 B	2.09 B	USD	0.09	USD	0.2585	
https://s3-symbol-logo.tradingview.com/wise.svg	WISE	https://www.tradingview.com/symbols/LSE-WISE/	WISE PLC CLS A ORD GBP0.01	2.31 B	0.3439	1.65 B	737.2 M	576.73 M	774.51 M	USD	0.55	USD	0.9831	
https://s3-symbol-logo.tradingview.com/anker-innovations.svg	300866	https://www.tradingview.com/symbols/SZSE-300866/	ANKER INNOVATIONS	3.62 B	0.4214	1.57 B	296.36 M	316.78 M	—	USD	0.57		0.3536	D
https://s3-symbol-logo.tradingview.com/zhejiang-nhu-co.svg	2001	https://www.tradingview.com/symbols/SZSE-002001/	ZHEJIANG NHU CO	3.07 B	0.4087	1.55 B	1.07 B	947.63 M	—	USD	0.31		1.3471	D
https://s3-symbol-logo.tradingview.com/cal-maine-foods.svg	CALM	https://www.tradingview.com/symbols/NASDAQ-CALM/	Cal-Maine Foods, Inc.	3.8 B	0.6	1.51 B	1.24 B	990.81 M	1.33 B	USD	20.24	USD	2.5886	
https://s3-symbol-logo.tradingview.com/california-resources-corporation.svg	CRC	https://www.tradingview.com/symbols/NYSE-CRC/	California Resources Corporation	3.34 B	0.4168	1.35 B	750 M	501 M	1.32 B	USD	5.52	USD	0.5832	
https://s3-symbol-logo.tradingview.com/man-group-plc-ord-usd0-0342857142.svg	EMG	https://www.tradingview.com/symbols/LSE-EMG/	MAN GROUP PLC (NEW) ORD USD0.0342857142	1.48 B	0.1885	1.3 B	412.7 M	292.1 M	486.19 M	USD	0.25	USD	0.2616	
https://s3-symbol-logo.tradingview.com/krafton.svg	259960	https://www.tradingview.com/symbols/KRX-259960/	KRAFTON	1.97 B	0.432	1.23 B	897.25 M	896.5 M	971.79 M	USD	19.61	USD	0.9924	D
https://s3-symbol-logo.tradingview.com/pop-mart-intl-grp-ltd.svg	9992	https://www.tradingview.com/symbols/HKEX-9992/	POP MART INTL GRP LTD	1.82 B	1.0344	1.22 B	573.23 M	436.16 M	693.61 M	USD	0.33	USD	1.8583	D
https://s3-symbol-logo.tradingview.com/harmony-gold.svg	HAR	https://www.tradingview.com/symbols/JSE-HAR/	HARMONY GM CO LTD	3.65 B	0.1906	1.15 B	1.03 B	553.56 M	1.28 B	USD	0.88	USD	0.1632	
https://s3-symbol-logo.tradingview.com/virtu-financial.svg	VIRT	https://www.tradingview.com/symbols/NASDAQ-VIRT/	Virtu Financial, Inc.	2.78 B	0.2602	1.14 B	848.04 M	300.96 M	961.28 M	USD	3.47	USD	1.418	
https://s3-symbol-logo.tradingview.com/sitc-international-hldgs-co-ltd.svg	1308	https://www.tradingview.com/symbols/HKEX-1308/	SITC INTERNATIONAL HLDGS CO LTD	3.07 B	0.2544	1.14 B	1 B	1.03 B	1.17 B	USD	0.38	USD	0.9262	D
https://s3-symbol-logo.tradingview.com/eastroc-beverage-coltd.svg	605499	https://www.tradingview.com/symbols/SSE-605499/	EASTROC BEVERAGE (GROUP) CO LTD	2.35 B	0.4054	1.08 B	577.15 M	501.84 M	—	USD	1.05		0.3816	D
https://s3-symbol-logo.tradingview.com/orion.svg	ORNAV	https://www.tradingview.com/symbols/OMXHEX-ORNAV/	ORION CORPORATION A	1.72 B	0.3022	1.06 B	464.11 M	375.94 M	565.81 M	USD	2.68	USD	0.602	D
https://s3-symbol-logo.tradingview.com/el-al-israel-airlines-ltd.svg	ELAL	https://www.tradingview.com/symbols/TASE-ELAL/	EL AL	3.43 B	0.2551	1.05 B	767.92 M	550.43 M	1.03 B	USD	1.12	USD	1.0118	D
https://s3-symbol-logo.tradingview.com/national-marine-dredging-co.svg	NMDC	https://www.tradingview.com/symbols/ADX-NMDC/	NMDC Group PJSC	7.38 B	0.4406	1.02 B	934.55 M	829.96 M	1.14 B	USD	0.99	USD	0.2071	
https://s3-symbol-logo.tradingview.com/celestica.svg	CLS	https://www.tradingview.com/symbols/TSX-CLS/	CELESTICA INC	9.76 B	0.2494	1.01 B	606.83 M	408.49 M	755.31 M	USD	3.46	USD	0.4168	D
https://s3-symbol-logo.tradingview.com/ubiquiti-networks.svg	UI	https://www.tradingview.com/symbols/NYSE-UI/	Ubiquiti Inc.	2.32 B	0.2143	978.86 M	713.25 M	549.02 M	735.4 M	USD	9.07	USD	0.5678	
https://s3-symbol-logo.tradingview.com/fpt-corporation.svg	FPT	https://www.tradingview.com/symbols/HOSE-FPT/	FPT CORPORATION	2.45 B	0.1944	928.19 M	409.9 M	306.06 M	508.62 M	USD	0.21	USD	0.2087	D
https://s3-symbol-logo.tradingview.com/giga-byte-technology-co.svg	2376	https://www.tradingview.com/symbols/TWSE-2376/	GIGA-BYTE TECHNOLOGY CO	8.29 B	0.6822	911.88 M	418.94 M	327.04 M	443.27 M	USD	0.47	USD	0.7708	D
https://s3-symbol-logo.tradingview.com/kongsberg-gruppen-asa.svg	KOG	https://www.tradingview.com/symbols/OSL-KOG/	KONGSBERG GRUPPEN ASA	4.84 B	0.1866	833.87 M	656.61 M	596.85 M	802.9 M	USD	3.39	USD	0.5381	D
https://s3-symbol-logo.tradingview.com/halozyme-therapeutics.svg	HALO	https://www.tradingview.com/symbols/NASDAQ-HALO/	Halozyme Therapeutics, Inc.	1.08 B	0.2565	833.77 M	597.47 M	485.36 M	679.06 M	USD	3.77	USD	0.5589	
https://s3-symbol-logo.tradingview.com/hd-hyundai-construction-equipment.svg	267260	https://www.tradingview.com/symbols/KRX-267260/	HD HYUNDAI ELECTRIC	2.39 B	0.2047	788.95 M	511.9 M	379.12 M	557.63 M	USD	10.53	USD	0.734	D
https://s3-symbol-logo.tradingview.com/texas-roadhouse.svg	TXRH	https://www.tradingview.com/symbols/NASDAQ-TXRH/	Texas Roadhouse, Inc.	5.5 B	0.1509	772.87 M	545.98 M	434.05 M	731.45 M	USD	6.49	USD	0.3122	
https://s3-symbol-logo.tradingview.com/evolution-mining.svg	EVN	https://www.tradingview.com/symbols/ASX-EVN/	EVOLUTION MINING LIMITED	2.42 B	0.6056	766.44 M	714.09 M	427.18 M	1.2 B	USD	0.21	USD	3.0267	D
https://s3-symbol-logo.tradingview.com/lundin-gold.svg	LUG	https://www.tradingview.com/symbols/TSX-LUG/	LUNDIN GOLD INC	1.28 B	0.5662	755.59 M	720.29 M	520.56 M	848.87 M	USD	2.15	USD	2.2473	D
https://s3-symbol-logo.tradingview.com/ies.svg	IESC	https://www.tradingview.com/symbols/NASDAQ-IESC/	IES Holdings, Inc.	3.13 B	0.2153	723.37 M	333.42 M	234.01 M	378.12 M	USD	11.53	USD	0.6649	
https://s3-symbol-logo.tradingview.com/paykel.svg	FPH	https://www.tradingview.com/symbols/NZX-FPH/	FISHER & PAYKEL HEALTHCARE CORP NPV	1.15 B	0.151	723.04 M	290.77 M	214.17 M	370.21 M	USD	0.36	USD	1.8254	D
https://s3-symbol-logo.tradingview.com/shenzhen-s-c-new-e.svg	300724	https://www.tradingview.com/symbols/SZSE-300724/	SHENZHEN S C NEW E	2.8 B	1.1905	722.64 M	435.47 M	398.58 M	—	USD	1.15		0.5445	D
https://s3-symbol-logo.tradingview.com/leisure-and-resorts-world.svg	PLUS	https://www.tradingview.com/symbols/PSE-PLUS/	DIGIPLUS INTERACTIVE CORP	1.47 B	1.3062	719.74 M	261.72 M	257.54 M	284.64 M	USD	0.06	USD	1.4971	D
https://s3-symbol-logo.tradingview.com/brinker-international.svg	EAT	https://www.tradingview.com/symbols/NYSE-EAT/	Brinker International, Inc.	5.13 B	0.198	711.3 M	496.1 M	333.4 M	689.8 M	USD	7.25	USD	1.1506	
https://s3-symbol-logo.tradingview.com/green-brick-partners.svg	GRBK	https://www.tradingview.com/symbols/NYSE-GRBK/	Green Brick Partners, Inc.	2.15 B	0.2122	705.89 M	480.16 M	373.34 M	485.32 M	USD	8.29	USD	0.257	
https://s3-symbol-logo.tradingview.com/inpost-s-a.svg	INPST	https://www.tradingview.com/symbols/EURONEXT-INPST/	INPOST S.A.	2.9 B	0.2835	690.49 M	527.64 M	297.08 M	939.3 M	USD	0.59	USD	0.5423	D
https://s3-symbol-logo.tradingview.com/erie-indemnity.svg	ERIE	https://www.tradingview.com/symbols/NASDAQ-ERIE/	Erie Indemnity Company	3.9 B	0.1505	688.1 M	690.9 M	614.18 M	—	USD	11.66		0.2678	
https://s3-symbol-logo.tradingview.com/swissquote-n.svg	SQN	https://www.tradingview.com/symbols/SIX-SQN/	SWISSQUOTE N	809.33 M	0.2478	685.18 M	384.28 M	323.91 M	434.31 M	USD	21.5	USD	0.3419	D
https://s3-symbol-logo.tradingview.com/gqg-partners-inc.svg	GQG	https://www.tradingview.com/symbols/ASX-GQG/	GQG PARTNERS INC.	713.19 M	0.4763	684 M	546.72 M	404.72 M	547.12 M	USD	0.14	USD	0.5419	D
https://s3-symbol-logo.tradingview.com/flow-traders-ltd.svg	FLOW	https://www.tradingview.com/symbols/EURONEXT-FLOW/	FLOW TRADERS	828.98 M	0.3876	676.75 M	417.23 M	165.16 M	435.13 M	USD	3.69	USD	3.3908	D
https://s3-symbol-logo.tradingview.com/chifeng-jilong-gold-mining-coltd.svg	600988	https://www.tradingview.com/symbols/SSE-600988/	CHIFENG JILONG GOLD MINING CO LTD	1.25 B	0.2813	664.52 M	465.88 M	282.03 M	—	USD	0.17		1.2015	D
https://s3-symbol-logo.tradingview.com/mitie-plc.svg	MTO	https://www.tradingview.com/symbols/LSE-MTO/	MITIE GROUP ORD GBP0.025	6.4 B	0.1525	664.05 M	222.11 M	161.27 M	346.74 M	USD	0.12	USD	0.2836	
https://s3-symbol-logo.tradingview.com/ninebot-limited.svg	689009	https://www.tradingview.com/symbols/SSE-689009/	NINEBOT LIMITED	2.29 B	0.5067	656 M	210.62 M	193.5 M	—	USD	0.24		0.9229	D
https://s3-symbol-logo.tradingview.com/ningbo-deye-technology.svg	605117	https://www.tradingview.com/symbols/SSE-605117/	NINGBO DEYE TECHNOLOGY CO LTD	1.62 B	0.6318	635.31 M	440.12 M	445.38 M	—	USD	0.69		0.8453	D
https://s3-symbol-logo.tradingview.com/giant-biogene-hldg-co-ltd.svg	2367	https://www.tradingview.com/symbols/HKEX-2367/	GIANT BIOGENE HLDG CO. LTD	772.79 M	0.5444	634.4 M	318.32 M	287.74 M	325.23 M	USD	0.28	USD	0.352	D
https://s3-symbol-logo.tradingview.com/transport-gas-sur.svg	TGSU2	https://www.tradingview.com/symbols/BCBA-TGSU2/	TRANSPORTADORA DE GAS DEL SUR S.A	1.16 B	1.9679	632.11 M	522.88 M	366.17 M	660.06 M	USD	0.49	USD	6.9444	D
https://s3-symbol-logo.tradingview.com/yintai-gold-co-ltd.svg	975	https://www.tradingview.com/symbols/SZSE-000975/	SHANJIN INTERNATIO	2.04 B	0.7534	628.87 M	491.85 M	325.65 M	—	USD	0.12		0.4493	D
https://s3-symbol-logo.tradingview.com/zhejiang-cfmoto-power.svg	603129	https://www.tradingview.com/symbols/SSE-603129/	ZHEJIANG CFMOTO POWER	2.19 B	0.3172	626.45 M	204.71 M	221.71 M	—	USD	1.45		0.4795	D
https://s3-symbol-logo.tradingview.com/is-y-men-deg.svg	ISMEN	https://www.tradingview.com/symbols/BIST-ISMEN/	IS Y. MEN. DEG.	26.31 B	0.6773	625.14 M	483.82 M	160.18 M	490.17 M	USD	0.11	USD	0.4008	D
https://s3-symbol-logo.tradingview.com/anima.svg	ANIM	https://www.tradingview.com/symbols/MIL-ANIM/	ANIMA HOLDING	1.48 B	0.2331	601.83 M	392.57 M	267.19 M	448.05 M	USD	0.82	USD	0.451	
https://s3-symbol-logo.tradingview.com/antam.svg	ANTM	https://www.tradingview.com/symbols/IDX-ANTM/	ANEKA TAMBANG	5.2 B	1.2777	580.87 M	379.45 M	332.4 M	456.03 M	USD	0.01	USD	2.3517	D
https://s3-symbol-logo.tradingview.com/masan-consumer.svg	MCH	https://www.tradingview.com/symbols/UPCOM-MCH/	MASAN CONSUMER CORPORATION	1.2 B	0.2697	561.78 M	293.47 M	304.33 M	319.97 M	USD	0.42	USD	0.638	D
https://s3-symbol-logo.tradingview.com/samyang-food.svg	3230	https://www.tradingview.com/symbols/KRX-003230/	SAMYANG FOOD	1.26 B	0.4037	537 M	268.95 M	205.61 M	302.3 M	USD	27.57	USD	0.7871	D
https://s3-symbol-logo.tradingview.com/alk-abello-b-a-s.svg	ALK_B	https://www.tradingview.com/symbols/OMXCOP-ALK_B/	ALK-ABELLO B A/S	827.07 M	0.1552	533.07 M	179.96 M	135.77 M	220.1 M	USD	0.61	USD	0.6864	D
https://s3-symbol-logo.tradingview.com/rea-group.svg	REA	https://www.tradingview.com/symbols/ASX-REA/	REA GROUP LTD	1.12 B	0.2028	524.2 M	451.63 M	381.53 M	528.72 M	USD	2.89	USD	1.1889	D
https://s3-symbol-logo.tradingview.com/hithink-royalflush.svg	300033	https://www.tradingview.com/symbols/SZSE-300033/	HITHINK ROYALFLUSH	582.92 M	0.2041	520.56 M	238.16 M	253.45 M	—	USD	0.47		0.3292	D
https://s3-symbol-logo.tradingview.com/doximity.svg	DOCS	https://www.tradingview.com/symbols/NYSE-DOCS/	Doximity, Inc.	570.4 M	0.1998	514.52 M	230.78 M	223.19 M	241.44 M	USD	1.11	USD	0.5352	
https://s3-symbol-logo.tradingview.com/shanghai-allist-pharmaceuticals-co-ltd.svg	688578	https://www.tradingview.com/symbols/SSE-688578/	SHANGHAI ALLIST PHARMACEUTICALS CO	531.73 M	0.575	512.17 M	225.09 M	211.36 M	—	USD	0.47		0.6762	D
https://s3-symbol-logo.tradingview.com/appfolio.svg	APPF	https://www.tradingview.com/symbols/NASDAQ-APPF/	AppFolio, Inc.	824.47 M	0.2273	506.97 M	135.34 M	196.78 M	157.93 M	USD	5.35	USD	1.5811	
https://s3-symbol-logo.tradingview.com/yealink-network-te.svg	300628	https://www.tradingview.com/symbols/SZSE-300628/	YEALINK NETWORK TE	770.11 M	0.2224	503.58 M	357.78 M	363.87 M	—	USD	0.29		0.2234	D
https://s3-symbol-logo.tradingview.com/oceanagold-corporation.svg	OGC	https://www.tradingview.com/symbols/TSX-OGC/	OCEANAGOLD CORPORATION	1.34 B	0.3581	480.26 M	392.9 M	284.57 M	689.24 M	USD	0.39	USD	7.0455	D
https://s3-symbol-logo.tradingview.com/clear-secure.svg	YOU	https://www.tradingview.com/symbols/NYSE-YOU/	Clear Secure, Inc.	802.81 M	0.2159	479.08 M	136.91 M	176.28 M	163.83 M	USD	1.86	USD	2.2884	
https://s3-symbol-logo.tradingview.com/converge-information-and-communications-technology-solutions.svg	CNVRG	https://www.tradingview.com/symbols/PSE-CNVRG/	CONVERGE INFORMATION AND COMMUNICATIONS TECHNOLOGY SOLUTIONS, INC	729.32 M	0.1547	464.13 M	277.36 M	196.5 M	443.07 M	USD	0.03	USD	0.19	D
	1318	https://www.tradingview.com/symbols/HKEX-1318/	MAO GEPING COSMETICS CO LTD	541.98 M	0.3209	447.97 M	154.73 M	122.85 M	165.67 M	USD	0.26	USD	0.3029	D
https://s3-symbol-logo.tradingview.com/mavi-giyim.svg	MAVI	https://www.tradingview.com/symbols/BIST-MAVI/	MAVI GIYIM	1 B	0.385	444.64 M	123.37 M	69.12 M	185.69 M	USD	0.09	USD	0.407	D
https://s3-symbol-logo.tradingview.com/gtt-gaztransport.svg	GTT	https://www.tradingview.com/symbols/EURONEXT-GTT/	GTT (GAZTRANSPORT ET TECHNIGAZ) EUR0.01	663.98 M	0.4996	431.04 M	382.67 M	360.07 M	401.86 M	USD	9.7	USD	0.7214	D
https://s3-symbol-logo.tradingview.com/enaex-sa.svg	ENAEX	https://www.tradingview.com/symbols/BCS-ENAEX/	ENAEX SA	1.81 B	0.1654	430.42 M	253.94 M	151.83 M	322.94 M	USD	1.23	USD	0.1676	D
https://s3-symbol-logo.tradingview.com/nova.svg	NVMI	https://www.tradingview.com/symbols/NASDAQ-NVMI/	Nova Ltd.	743.95 M	0.4103	426.13 M	213.55 M	211.73 M	231.46 M	USD	6.59	USD	0.5228	
https://s3-symbol-logo.tradingview.com/catalyst-pharmaceuticals.svg	CPRX	https://www.tradingview.com/symbols/NASDAQ-CPRX/	Catalyst Pharmaceuticals, Inc.	534.65 M	0.2997	423.03 M	231.37 M	197.35 M	269.38 M	USD	1.57	USD	1.9105	
https://s3-symbol-logo.tradingview.com/baycurrent-consulting.svg	6532	https://www.tradingview.com/symbols/TSE-6532/	BAYCURRENT INC	770.38 M	0.2358	414.58 M	282.85 M	204.18 M	299.37 M	USD	1.34	USD	0.2175	D
https://s3-symbol-logo.tradingview.com/chroma-ate.svg	2360	https://www.tradingview.com/symbols/TWSE-2360/	CHROMA ATE INC	722.88 M	0.2858	414.52 M	202.75 M	193.31 M	226.54 M	USD	0.45	USD	0.6071	D
https://s3-symbol-logo.tradingview.com/inner-mongolia-xin.svg	426	https://www.tradingview.com/symbols/SZSE-000426/	INNER MONGOLIA XIN	602.56 M	0.1582	413.56 M	288.65 M	230.73 M	—	USD	0.13		0.4283	D
https://s3-symbol-logo.tradingview.com/tidewater.svg	TDW	https://www.tradingview.com/symbols/NYSE-TDW/	Tidewater Inc.	1.36 B	0.1934	411.82 M	297.24 M	176.28 M	549.17 M	USD	3.34	USD	0.3316	
https://s3-symbol-logo.tradingview.com/apr.svg	278470	https://www.tradingview.com/symbols/KRX-278470/	APR	566.9 M	0.5255	410.23 M	100.91 M	90.07 M	117.86 M	USD	2.36	USD	0.5529	D
