NVDA	NVIDIA Corporation
TAPG	TRIPUTRA AGRO PERSADA TBK
KYN	Kayne Anderson Energy Infrastructure Fund, Inc.
8114	POSIFLEX TECHNOLOGIES INC
PODERC1	COMPANIA MINERA PODEROSA SA
PRL	PROPEL HOLDINGS INC
300573	SHENYANG XINGQI PH
4015	JAMJOOM PHARMACEUTICALS FACTORY CO.
4587	PEPTIDREAM INC
SEZL	Sezzle Inc.
WDO	WESDOME GOLD MINES LTD
MINEROS	MINEROS S.A.
688188	SHANGHAI BOCHU ELECTRONIC TECH CORP
ARADEL	ARADEL
HWX	HEADWATER EXPLORATION INC
145020	HUGEL, INC.
CRN	CAIRN HOMES PLC ORD EUR0.001 (CDI)
603893	FUZHOU ROCKCHIP ELECTRONICS CO LTD
36930	JUSUNG ENGINEERING CO.,LTD.
BSLN	BASILEA N
214450	PHARMARESEARCH
NGI	NAVIGATOR GLOBAL INVESTMENTS LIMITED
HLAN	HILAN
AIY	IFAST
RAYA	RAYA HOLDING FOR FINANCIAL INVESTMENTS
257720	SILICON 2 CO.,LTD.
CLEBI	CELEBI
18290	VT
1773	TIANLI INTERNATIONAL HOLDINGS LTD
688019	ANJI MICROELECTRONICS TECHNOLOGY
USLM	United States Lime & Minerals, Inc.
3227	PIXART IMAGING
UFPT	UFP Technologies, Inc.
GBAN	NATURGY BAN SA
SYNE3	SYN PROP TECON NM
TIMA	ZEAL NETWORK SE
TNE	TECHNOLOGY ONE LIMITED
AGX	Argan, Inc.
319660	PSK INC.
214150	CLASSYS INC.
3939	WANGUO GOLD GROUP LTD
5274	ASPEED TECHNOLOGY INC
APX	APEX MINING COMPANY, INC.
LEU	Centrus Energy Corp.
4373	SIMPLEX HLDGS INC
7047	PORT INC
2947	SUZHOU HENGMINGDA
ATI	ASIAN TERMINALS, INC.
6896	GOLDEN THROAT HLDGS GROUP CO LTD
GAMB	Gambling.com Group Limited
EVT	ECONOMIC INVESTMENT TRUST
3030	TEST RESEARCH INC
ALCN	ALEXANDRIA CONTAINERS AND GOODS
VH2	FRIEDRICH VORWERK GRP SE
84370	EUGENE TECHNOLOGY CO., LTD.
605183	QUECHEN SILICON CHEMICAL CO LTD
3529	EMEMORY TECHNOLOGY INC.
1442	ADVANCETEK ENTERPRICE
THX	THOR EXPLORATIONS
AIO	Virtus Artificial Intelligence & Technology Opportunities Fund
GSFI	GAN SHMUEL
HEM	HEMNET GROUP AB
NWL	NETWEALTH GROUP LIMITED
FAPA	FAP AGRI TBK
MND	MANDALAY RESOURCES CORP
2718	ALLMIND HOLDINGS CORPORATION
SIQ	SMARTGROUP CORPORATION LTD
IVSO	INVISIO AB
603929	L AND K ENGINEERING (SUZHOU) CO LTD
NATF	NATIONAL FOODS LTD
MSB	Mesabi Trust
CLMB	Climb Global Solutions, Inc.
6187	ALL RING TECH CO
CICN	CICOR TECH N
PME	PRO MEDICUS LIMITED
NXSN	NEXT VISION STABIL
5710	DAEWONSANUP
31980	PSK HOLDINGS INC.
83450	GLOBAL STANDARD TECHNOLOGY CO., LTD.
PHN	PHARMANUTRA
FNOX	FORTNOX AB
OCDI	SIX OF OCTOBER DEVELOPMENT & INVESTMENT (SODIC)
1180	PARADISE ENTERTAINMENT LIMITED
SUP	SUPREME PLC ORD GBP0.10
3836	AVANT GROUP CORPORATION
ATLH	ATLAS HONDA LTD
3450	ELITE ADVANCED LASER CORP
INOD	Innodata Inc.
TGMA3	TEGMA ON NM
300570	T AND S COMMUNICAT
95610	TES CO., LTD.
TEA	TASMEA LIMITED
4162	PHARMAENGINE INC
64760	TOKAI CARBON KOREA CO., LTD
69510	ESTEC CORPORATION
688093	SUZHOU SHIHUA NEW MATERIAL TECHNOLO
BVC	BOLSA DE VALORES DE COLOMBIA S.A.
NTP	TIEN PHONG PLASTIC JSC
3978	CHINA BESTSTUDY EDUCATION GROUP
FWRY	FAWRY FOR BANKING TECHNOLOGY AND ELECTRONIC PAYMENT
INDIAMART	INDIAMART INTERMESH LTD
BTO	John Hancock Financial Opportunities Fund
BTM	PENGUIN INTL
1523	PLOVER BAY TECHNOLOGIES LTD
340570	T&L CO., LTD.
688300	NOVORAY CORPORATION
TRIM	TRIMEGAH SEKURITAS INDONESIA TBK
MLX	METALS X LIMITED
1731	PROSPEROUS INDUSTRIAL (HLDGS) LTD
3131	GRAND PROCESS TECHNOLOGY CO
3217	ARGOSY RESEARCH
DKFT	CENTRAL OMEGA RESOURCES TBK
82920	VITZROCELL CO., LTD.
1412	Q P GROUP HLDGS LTD
AEF	AUSTRALIAN ETHICAL INVESTMENT LIMITED
HAVAD	HAVANNA HOLDING SA
UNITED	UNITED BANKERS OYJ
3526	ALLTOP TECHNOLOGY CO LTD
OKOMUOIL	OKOMU OIL PALM CO PLC
CASS	CAHAYA AERO SERVICES TBK
NAPESCO	NATIONAL PETROLEUM SERVICES
SECT_B	SECTRA AB SER B
PM	PREMIER MARKETING PUBLIC CO LTD
HALEON	HALEON PAKISTAN LTD
LBW	LUBAWA
EXAE	HELLENIC EXCHANGES (CR)
EFIH	E-FINANCE FOR DIGITAL AND FINANCIAL INVESTMENTS
SNL	SUPPLY NETWORK LIMITED
2161	JBM (HEALTHCARE) LTD
HINOON	HIGHNOON LABORATORIES LTD
9528	GAS ARABIAN SERVICES CO.
6143	NETRONIX INC
MEGM	MIDDLE EAST GLASS MANUFACTURING
6788	BRILLIAN NETWORK & AUTOMATION INTEG
GNP	GENUSPLUS GROUP LTD
300515	HUNAN SUNDAY SCIEN
AAI	ASIAN ALLIANCE INTERNATIONAL PCL
NTGAZ	NATURELGAZ
6728	UP YOUNG CORNERSTONE CORP
SPR	SPYROSOFT
NORBT	NORBIT ASA
MKO	MAKO MINING CORP
SYS1	SYSTEM1 GROUP PLC ORD GBP0.01
MIPS	MIPS AB
NEA	NICOLAS CORREA
SRB	SERABI GOLD PLC ORD GBP0.10
SISB	SISB PCL
SXE	SOUTHERN CROSS ELECTRICAL ENGINEERING LTD
WAX	WAM RESEARCH LIMITED
NSL	NSL FOODS PCL
GNG	GR ENGINEERING SERVICES LIMITED
ALL	AILLERON
IPG	IPD GROUP LTD
NASCON	NASCON ALLIED INDUSTRIES PLC
MAGNI	MAGNI-TECH INDUSTRIES BHD
HME	HEMISPHERE ENERGY CORPORATION
6741	91APP INC
123860	ANAPASS, INC.
BBW	AZEUS
6231	INSYDE SOFTWARE CORP
335890	VIOL CO., LTD.
EZZ	EZZ LIFE SCIENCE HOLDINGS LIMITED
PLC	PLC
5262	GIGASTONE CORPORATION
SCS	SAIGON CARGO SERVICE CORP
SGN	SYGNITY
TRANSCOHOT	TRANSCORP HOTELS PLC
MHOT	MISR HOTELS
AST	TASECO AIR SERVICES JOINT STOCK COMPANY
PABC	PAKISTAN ALUMINIUM BEVERAGE CANS LIMITED
2302	CNNC INTERNATIONAL LTD.
14940	ORIENTAL PRECISION & ENGINEERING CO.,LTD
6807	FY GROUP LTD
4571	KHGEARS INTERNATIONAL LTD
BEZ	BENG KUANG
TSSI	TSS, Inc.
3350	HANKOOK COSMETICS MANUFACTURING
2031	AUSUPREME INTERNATIONAL HLDGS LTD
MEGAP	MEGA POLIETILEN
5TP	CNMC GOLDMINE
INNO	INNOPRISE PLANTATIONS BERHAD
IGP	INTERCEDE GROUP ORD GBP0.01
6683	KEYSTONE MICROTECH CO
PT	PREMIER TECHNOLOGY PUBLIC CO LTD
MARK	MARK DYNAMICS INDONESIA
FIDSON	FIDSON HEALTHCARE PLC
MUREB	MURREE BREWERY LTD
MPTI	M-tron Industries, Inc.
KEJU	MULIA BOGA RAYA TBK
INA	INSOLATION ENERGY LIMITED
AKR	EKARAT ENGINEERING
HONYFLOUR	HONEYWELL FLOUR MILLS PLC
GHNI	GHANDHARA INDUSTRIES CO LTD
4979	LUXNET CORPORATION
ELITE	ELITE NATUREL ORGANIK GIDA
BEEF	ESTIKA TATA TIARA TBK
263860	GENIANS, INC.
179290	MITECH CO., LTD.
41190	WOORI TECHNOLOGY INVESTMENT CO., LTD
IPCC	INDONESIA KENDARAAN TERMINAL TBK
GMM	Global Mofy AI Limited
260970	S&D CO., LTD
3570	OTSUKA INFORMATION TECHNOLOGY CORP.
ARYT	ARYT
6028	GOLDEN INSURANCE BROKERS CO LTD
KISS	ROJUKISS INTERNATIONAL PCL
4987	GODEX INTERNATIONA
2751	KINGZA INTERNATIONAL CO LTD
408920	MESSE ESANG
9550	SURE GLOBAL TECH CO
98120	MICRO CONTACT SOLUTION CO.,LTD.
9627	TWAREAT MEDICAL CARE CO.
CGS	COGSTATE LTD
6498	POWERTIP IMAGE CORP
1451	MS GROUP HLDGS LTD
332370	IDP CORP., LTD.
KPG	KELLY PARTNERS GROUP HOLDINGS LIMITED
4772	TAIWAN SPECIALITY CHEMICALS CORPORA
MCBIM	MCB INVESTMENT MANAGEMENT LIMITED
SHFA	SHIFA INTERNATIONAL HOSPITALS LTD
NCI	NTG CLARITY NETWORKS INC
CELLECOR	CELLECOR GADGETS LTD
HGM	HA GIANG MINERAL MECHANICS JSC
356890	CYBERONE CO., LTD.
8342	I JANG INDUSTRIA CO LTD
CHCI	Comstock Holding Companies, Inc.
ADB	AUTOCOUNT DOTCOM BERHAD
1712	DRAGON MINING LIMITED
APP	APPLICAD PCL
PLEJD	PLEJD AB
GAL	GHANDHARA AUTOMOBILES LTD
9557	EDARAT COMMUNICATION AND INFORMATION TECHNOLOGY CO.
SED	PHUONG NAM EDUCATION INV & DEV JSC
ZAL	ZALARIS ASA
ETST	Earth Science Tech, Inc.
VLL.N0000	VIDULLANKA PLC
SKS	SKS TECHNOLOGIES GROUP LIMITED
OPXS	Optex Systems Holdings, Inc.
TFC	TRANG CORPORATION
ATR	ATREM
IDR	Idaho Strategic Resources, Inc.
6855	ECLATORQ TECHNOLOGY CO LTD
AHC	AUSTCO HEALTHCARE LIMITED
MTRKS	MATRIKS FINANSAL TEKNOLOJILER
MAM	MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED
TBTC	Table Trac, Inc.
NFC	NINH BINH PHOSPHATE FERTILIZER JSC
7714	UNIFORCE TECHNOLOGY CORPORATION
ACFN	Acorn Energy, Inc.
8162	LOCO HONG KONG HOLDINGS LIMITED
6898	CHAINSEA INFORMATION INTEGRATION CO
CLOUDPT	CLOUDPOINT TECHNOLOGY BERHAD
HNW	Pioneer Diversified High Income Fund, Inc.
ZKX	EVER GLORY
6820	ACON OPTICS COMMUNICATIONS INC
UNIQ	ULIMA NITRA TBK
NEX	RECLAIMS GLOBAL
SGC	SA GIANG IMPORT-EXPORT CORPORATION
STP	SAHATHAI PRINTING & PACKAGING PCL
6986	HEXUN BIOSCIENCES CO LTD
JSGCL	JS GLOBAL CAPITAL LTD
INDXA	INDEXA CAPITAL GROUP, S.A.
ADCI	ARAB PHARMACEUTICALS
MFGROUP	MANFORCE GROUP BERHAD
LFECORP	LFE CORPORATION BHD
VINSYS	VINSYS IT SERVICES IND LTD
ITECH	I-TECH AB
6955	BONRAYBIO CO LTD
MAYBAKER	MAY AND BAKER PLC - NIGERIA
VERTI	VERTIKAL GROUP ZRT
ETRS	EGYPTIAN TRANSPORT (EGYTRANS)
IKEJAHOTEL	IKEJA HOTEL PLC
CFF	CFF FLUID CONTROL LIMITED
SEALMATIC	SEALMATIC INDIA LIMITED
BRIGHT	BRIGHT OUTDOOR MEDIA LIMITED
INTEK	INNOSA TEKNOLOJI
PVE	PO VALLEY ENERGY LIMITED
MOBILIA	MOBILIA HOLDINGS BERHAD
AFRIPRUD	AFRICA PRUDENTIAL REGISTRARS PLC
ARYACAPM	ARYAMAN CAPITAL MARKETS LIMITE
ENEST	ENEST GROUP BERHAD
SYSTANGO	SYSTANGO TECHNOLOGIES LTD
LFLO	IMAGO MULIA PERSADA TBK
KEL	KUNDAN EDIFICE LTD
TAH	THIRD AGE HEALTH SERVICES LTD NPV
CTZ	NAMSYS INC
6979	VICTORY FOR TECHNOLOGY CO LTD
BIG	B.I.G. INDUSTRIES BHD
ESENT	ESENSE HUMAN RES
BERGER	BERGER PAINTS PLC - NIGERIA
ZTE	ZTEST ELECTRONICS INC.
NINH	NOZHA INTERNATIONAL HOSPITAL
MPSOL	MATRIX PARKING SOLUTION HOLDINGS BERHAD
CSOC.A	CANSO SELECT OPPORTUNITIES CORP
URBAN	URBAN ENVIRO WASTE MGMT L
TIP	THE INITIATES PLC
AAGC	All American Gold Corp.
TECHKGREEN	TECHKNOWGREEN SOLUTIONS LIMITE
SHINEFASH	SHINE FASHIONS (INDIA) LIMITED
HCC	HOA CAM CONCRETE JSC
IDBTECH	IDB TECHNOLOGIES BERHAD
MEYER	MEYER PLC.
SIGNORIA	SIGNORIA CREATION LTD
MND	MINERAL MIDRANGE
SKN	SAKANA
XPS	XPS PENSIONS GROUP PLC ORD GBP0.0005
ADM	ADMIRAL GROUP ORD GBP0.001
TURSG	TURKIYE SIGORTA
AKGRT	AKSIGORTA
VAKFN	VAKIF FIN. KIR.
AGESA	AGESA HAYAT EMEKLILIK
TGSAS	TGS DIS TICARET
TFBANK	TF BANK AB
211050	INCAR FINANCIAL SERVICE CO.,LTD.
CPI	CAPITEC BANK HLDGS LTD
DNOS	DUNAV OSIGURANJE A
BEMA	DAMAAN ISLAMIC INSURANCE QPSC
PSE	THE PHILIPPINE STOCK EXCHANGE
AUB	ASIA UNITED BANK CORPORATION
GMAP	GMA HOLDINGS, INC. (PDR)
UNIC	UNITED INSURANCE CO OF PAKISTAN LTD
EWIC	EAST WEST INSURANCE CO LTD
PROT	PROTECTOR FORSIKRING ASA
ETI	ECOBANK TRANSNATIONAL INC
WEMABANK	WEMA BANK PLC
FIDELITYBK	FIDELITY BANK PLC
TWR	TOWER LTD NPV
BOURSA	BOURSA KUWAIT SECURITIES CO KPSC
IBI	IBI INV HOUSE
ANLT	ANALYST
IDIN	IDI INSUR
SAUD	AL BARAKA BANK EGYPT
EXPA	EXPORT DEVELOPMENT BANK OF EGYPT
ADIB	ABU DHABI ISLAMIC BANK- EGYPT
COMI	COMMERCIAL INTERNATIONAL BANK-EGYPT (CIB)
UTTARABANK	UTTARA BANK PLC
BPAT	BANCO PATAGONIA SA
GGAL	GRUPO FINANCIERO GALICIA SA
UTGN	UTG, Inc.
PGR	Progressive Corporation (The)
PLMR	Palomar Holdings, Inc.
HLI	Houlihan Lokey, Inc.
PJT	PJT Partners Inc.
HLNE	Hamilton Lane Incorporated
OPHC	OptimumBank Holdings, Inc.
CTUY	Century Next Financial Corp
MCY	Mercury General Corporation
LDSN	Luduson G Inc.
KINS	Kingstone Companies, Inc
MHI	Pioneer Municipal High Income Fund, Inc.
LEO	BNY Mellon Strategic Municipals, Inc.
MFM	MFS Municipal Income Trust
NMZ	Nuveen Municipal High Income Opportunity Fund
FFC	Flaherty & Crumrine Preferred and Income Securities Fund Incorporated
PSN	Parsons Corporation
NVG	Nuveen AMT-Free Municipal Credit Income Fund
NEA	Nuveen AMT-Free Quality Municipal Income Fund
FLC	Flaherty & Crumrine Total Return Fund Inc
IAF	abrdn Australia Equity Fund, Inc.
PFO	Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated
PFD	Flaherty & Crumrine Preferred and Income Fund Incorporated
PINS	Pinterest, Inc.
PSLV	Sprott Physical Silver Trust ETV
HOOD	Robinhood Markets, Inc.
ASA	ASA Gold and Precious Metals Limited
PMM	Putnam Managed Municipal Income Trust
NAD	Nuveen Quality Municipal Income Fund
ENX	Eaton Vance New York Municipal Bond Fund
SRV	Cushing MLP & Infrastructure Total Return Fund
SMID	Smith-Midland Corporation
DFP	Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.
GDO	Western Asset Global Corporate Defined Opportunity Fund Inc.
WSTL	Westell Technologies, Inc.
HIX	Western Asset High Income Fund II Inc.
FEIM	Frequency Electronics, Inc.
FMY	First Trust Motgage Income Fund
NHS	Neuberger Berman High Yield Strategies Fund
FRMO	FRMO Corp.
FAX	abrdn Asia-Pacific Income Fund, Inc.
CHW	Calamos Global Dynamic Income Fund
EAD	Allspring Income Opportunities Fund
CEF	Sprott Physical Gold and Silver Trust
MPWR	Monolithic Power Systems, Inc.
VST	Vistra Corp.
EMO	ClearBridge Energy Midstream Opportunity Fund Inc.
SGHC	Super Group (SGHC) Limited
EOD	Allspring Global Dividend Opportunity Fund
RITR	Reitar Logtech Holdings Limited
SKYW	SkyWest, Inc.
FT	Franklin Universal Trust
DT	Dynatrace, Inc.
GB	Global Blue Group Holding AG
DBL	DoubleLine Opportunistic Credit Fund
CHN	China Fund, Inc. (The)
PSIX	Power Solutions International, Inc.
ETG	Eaton Vance Tax-Advantaged Global Dividend Income Fund
ACV	Virtus Diversified Income & Convertible Fund
NTRS	Northern Trust Corporation
PDEX	Pro-Dex, Inc.
EXG	Eaton Vance Tax-Managed Global Diversified Equity Income Fund
IMMR	Immersion Corporation
JHI	John Hancock Investors Trust
SIEB	Siebert Financial Corp.
ZBRA	Zebra Technologies Corporation
EVTC	Evertec, Inc.
FOUR	Shift4 Payments, Inc.
SPFX	Standard Premium Finance Holdings, Inc.
IDCC	InterDigital, Inc.
GLDD	Great Lakes Dredge & Dock Corporation
FOF	Cohen & Steers Closed-End Opportunity Fund, Inc.
AOREF	American Overseas Group Limited
ANF	Abercrombie & Fitch Company
ISSC	Innovative Solutions and Support, Inc.
POWL	Powell Industries, Inc.
NU	Nu Holdings Ltd.
WLFC	Willis Lease Finance Corporation
DHY	Credit Suisse High Yield Bond Fund
FIX	Comfort Systems USA, Inc.
NJR	NewJersey Resources Corporation
SAGT	SAGTEC GLOBAL LIMITED
GBFH	GBank Financial Holdings Inc.
LKNCY	Luckin Coffee Inc.
AMGN	Amgen Inc.
ENVA	Enova International, Inc.
PHT	Pioneer High Income Fund, Inc.
CAMT	Camtek Ltd.
META	Meta Platforms, Inc.
NRIM	Northrim BanCorp Inc
AROC	Archrock, Inc.
ODD	ODDITY Tech Ltd.
ENSG	The Ensign Group, Inc.
ESP	Espey Mfg. & Electronics Corp.
VNOM	Viper Energy, Inc.
FXLG	F.S. Bancorp
TRIN	Trinity Capital Inc.
STRW	Strawberry Fields REIT, Inc.
OAKV	OAK VIEW BANKSHARES INC.
JCE	Nuveen Core Equity Alpha Fund
PNRG	PrimeEnergy Resources Corporation
AWF	Alliancebernstein Global High Income Fund
HLFN	Home Loan Financial Corp.
FOTB	First Ottawa Bancshares
XYF	X Financial
LRCX	Lam Research Corporation
QCOM	QUALCOMM Incorporated
VITL	Vital Farms, Inc.
LGCY	Legacy Education Inc.
ETV	Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund
DECK	Deckers Outdoor Corporation
TY	Tri Continental Corporation
ATAT	Atour Lifestyle Holdings Limited
EXPD	Expeditors International of Washington, Inc.
FUTU	Futu Holdings Limited
CET	Central Securities Corporation
APH	Amphenol Corporation
BAM	Brookfield Asset Management Inc
NEWT	NewtekOne, Inc.
FSLR	First Solar, Inc.
NBN	Northeast Bank
PDD	PDD Holdings Inc.
FBAK	First National Bank Alaska
ATLC	Atlanticus Holdings Corporation
TBBK	The Bancorp, Inc.
OKE	ONEOK, Inc.
GCT	GigaCloud Technology Inc
FN	Fabrinet
GLAD	Gladstone Capital Corporation
SNEX	StoneX Group Inc.
ETB	Eaton Vance Tax-Managed Buy-Write Income Fund
KSBI	K S Bancorp, Inc.
KNSL	Kinsale Capital Group, Inc.
AZN	ASTRAZENECA PLC ORD 
NWG	NATWEST GROUP PLC ORD
WISE	WISE PLC CLS A ORD
HLMA	HALMA ORD
ADM	ADMIRAL GROUP ORD
DPLM	DIPLOMA PLC ORD
FCIT	F&C INVESTMENT TRUST PLC ORD
GAW	GAMES WORKSHOP GROUP ORD
PCT	POLAR CAPITAL TECHNOLOGY TRUST PLC ORD
BBOX	TRITAX BIG BOX REIT PLC ORD
MNKS	MONKS INVESTMENT TRUST ORD
EMG	MAN GROUP PLC (NEW) ORD 
MTO	MITIE GROUP ORD
MRC	MERCANTILE INVESTMENT TST PLC(THE) ORD
OSB	OSB GROUP PLC ORD
TEM	TEMPLETON EMERGING MKTS INV TRUST ORD
PAG	PARAGON BANKING GROUP PLC ORD
BCG	BALTIC CLASSIFIEDS GROUP PLC ORD
SSPG	SSP GROUP PLC ORD
ASL	ABERFORTH SMALLER COMPANIES TRUST ORD
BNKR	BANKERS INVESTMENT TRUST ORD
TRN	TRAINLINE PLC ORD
GAMA	GAMMA COMMUNICATIONS PLC ORD
TRY	TR PROPERTY INVESTMENT TRUST ORD
AGT	AVI GLOBAL TRUST PLC ORD
JFJ	JPMORGAN JAPANESE INV TRUST PLC ORD
XPS	XPS PENSIONS GROUP PLC ORD
CMCX	CMC MARKETS ORD
JII	JPMORGAN INDIAN INV TRUST PLC ORD
CORD	CORDIANT DIGITAL INFRASTRUCTURE LTD ORD NPV
USA	BAILLIE GIFFORD US GROWTH TRUST PLC ORD
PRSR	PRS REIT PLC (THE) ORD
ATYM	ATALAYA MINING COPPER S.A. ORD EUR0.09 (CDI)
JEDT	JPMORGAN EURO DISCOVERY TRUST PLC ORD
PAY	PAYPOINT ORD
FEML	FIDELITY EMERGING MARKETS LTD PTG SHS NPV
MAB1	MORTGAGE ADVICE BUREAU (HOLDINGS) PLC
AIE	ASHOKA INDIA EQUITY INV TRUST PLC ORD
AAS	ABRDN ASIA FOCUS PLC ORD
GFRD	GALLIFORD TRY HOLDINGS PLC ORD
W7L	WARPAINT LONDON PLC ORD
CTUK	CT UK CAP AND INC INV TRUST PLC ORD
SBRE	SABRE INSURANCE GROUP PLC ORD
AAEV	ALBION ENTERPRISE VCT PLC ORD
JAGI	JPMORGAN ASIA GROWTH & INCOME PLC ORD
BGUK	BAILLIE GIFFORD UK GROWTH TRUST PLC ORD
IGET	INVESCO GLOBAL EQTY INCOME TST PLC ORD
SUP	SUPREME PLC ORD
ASAI	ASA INTERNATIONAL GROUP PLC ORD
SRB	SERABI GOLD PLC ORD
MTU	MONTANARO UK SMALLER COS INVESTM TR ORD
ALU	ALUMASC GROUP ORD
ELCO	ELECO PUBLIC LIMITED COMPANY ORD
ALTN	ALTYNGOLD PLC ORD
IGP	INTERCEDE GROUP ORD
ANP	ANPARIO ORD
DFCH	DISTRIBUTION FINANCE CAPITAL HLDGS ORD
SYS1	SYSTEM1 GROUP PLC ORD
BRIG	BLACKROCK INC & GR ORD
HERC	HERCULES PLC ORD
ORCH	ORCHARD FUNDING GROUP PLC ORD
FKE	FISKE ORD
9024	SEIBU HOLDINGS INC
9218	MENTAL HEALTH TECHNOLOGIES CO LTD
7692	EARTH INFINITY CO LTD
4119	NIPPON PIGMENT HOLDINGS CO LTD
2983	ARR PLANNER CO LTD
9271	WAGOKORO CO LTD
3107	DAIWABO HOLDINGS CO LTD
